DATE,TIME,MODEL CODE,TYPE,BARCODE,SERIAL No.,PASS/NG,50Hz WATTAGE,50Hz WATTAGE FLUCTUATED,50Hz AIR VOLUME,50Hz AIR VOLUME FLUCTUATED,50Hz CLOSED PRESSURE,50Hz CLOSED PRESSURE FLUCTUATED,50Hz AMPERAGE,50Hz AMPERAGE FLUCTUATED,60Hz WATTAGE,60Hz WATTAGE FLUCTUATED,60Hz AIR VOLUME,60Hz AIR VOLUME FLUCTUATED,60Hz CLOSED PRESSURE,60Hz CLOSED PRESSURE FLUCTUATED,60Hz AMPERAGE,60Hz AMPERAGE FLUCTUATED
25/07/2025,11:30:20,120LL2400P,N,,725007442,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,94.7,0.6000000000000085,114.0,0.0,42.7,1.0,0.945,0.0119999999999999
25/07/2025,11:33:37,120LL2400P,N,,725007443,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,94.1,0.6000000000000085,114.0,0.0,40.6,2.1000000000000014,0.942,0.0030000000000000027
25/07/2025,11:37:15,120LL2400P,N,,725007444,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,95.2,1.1000000000000085,114.0,0.0,43.0,2.3999999999999986,0.958,0.016000000000000014
25/07/2025,11:39:45,120LL2400P,N,,725007445,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,93.2,2.0,113.0,1.0,41.8,1.2000000000000028,0.932,0.025999999999999912
25/07/2025,11:42:55,120LL2400P,N,,725007446,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,93.0,0.20000000000000284,112.0,1.0,42.9,1.1000000000000014,0.929,0.0030000000000000027
25/07/2025,11:44:39,120LL2400P,N,,725007447,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,94.2,1.2000000000000028,113.0,1.0,42.3,0.6000000000000014,0.946,0.016999999999999904
25/07/2025,11:47:15,120LL2400P,N,,725007448,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,93.6,0.6000000000000085,113.0,0.0,42.0,0.29999999999999716,0.933,0.0129999999999999
25/07/2025,11:52:29,120LL2400P,N,,725007449,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,93.3,0.29999999999999716,113.0,0.0,42.6,0.6000000000000014,0.93,0.0030000000000000027
25/07/2025,11:53:45,120LL2400P,N,,725007450,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,96.5,3.200000000000003,115.0,2.0,42.6,0.0,0.967,0.03699999999999992
25/07/2025,11:56:51,120LL2400P,N,,725007451,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,93.2,3.299999999999997,112.0,3.0,42.2,0.3999999999999986,0.94,0.027000000000000024
